name,url
Diprolene,https://www.drugs.com/mtm/diprolene.html
Divalproex,https://www.drugs.com/pro/divalproex.html
Divalproex sodium,https://www.drugs.com/mtm/divalproex-sodium.html
Docusate Sodium,https://www.drugs.com/pro/docusate-sodium.html
Domperidone,https://www.drugs.com/domperidone.html
Donepezil,https://www.drugs.com/donepezil.html
Doxazosin,https://www.drugs.com/doxazosin.html
Doxepin,https://www.drugs.com/pro/doxepin.html
Doxorubicin,https://www.drugs.com/mtm/doxorubicin.html
Doxycycline,https://www.drugs.com/doxycycline.html
Doxycycline Hyclate,https://www.drugs.com/pro/doxycycline-hyclate.html
Dulaglutide,https://www.drugs.com/dulaglutide.html
Dulcolax,https://www.drugs.com/dulcolax.html
Duloxetine,https://www.drugs.com/duloxetine.html
DuoNeb,https://www.drugs.com/duoneb.html
Duopa,https://www.drugs.com/duopa.html
Dupixent,https://www.drugs.com/dupixent.html
Dutasteride,https://www.drugs.com/dutasteride.html
Ebglyss,https://www.drugs.com/ebglyss.html
Ecotrin,https://www.drugs.com/mtm/ecotrin.html
Effexor,https://www.drugs.com/pro/effexor.html
Effexor XR,https://www.drugs.com/effexor.html
Elagolix,https://www.drugs.com/elagolix.html
Elavil,https://www.drugs.com/elavil.html
Elevidys,https://www.drugs.com/elevidys.html
Eligard,https://www.drugs.com/eligard.html
Eliquis,https://www.drugs.com/eliquis.html
Emgality,https://www.drugs.com/emgality.html
Empagliflozin,https://www.drugs.com/mtm/empagliflozin.html
Empaveli,https://www.drugs.com/empaveli.html
Enalapril,https://www.drugs.com/enalapril.html
Enbrel,https://www.drugs.com/enbrel.html
Enhertu,https://www.drugs.com/enhertu.html
Enoxaparin,https://www.drugs.com/mtm/enoxaparin.html
Enspryng,https://www.drugs.com/enspryng.html
Entecavir,https://www.drugs.com/mtm/entecavir.html
Entresto,https://www.drugs.com/entresto.html
Entyvio,https://www.drugs.com/entyvio.html
Enzalutamide,https://www.drugs.com/enzalutamide.html
Epidiolex,https://www.drugs.com/epidiolex.html
Epinephrine,https://www.drugs.com/monograph/epinephrine.html
EpiPen,https://www.drugs.com/epipen.html
Eplerenone,https://www.drugs.com/mtm/eplerenone.html
Epoetin alfa,https://www.drugs.com/mtm/epoetin-alfa.html
Ergocalciferol,https://www.drugs.com/mtm/ergocalciferol.html
Erleada,https://www.drugs.com/erleada.html
Ertapenem,https://www.drugs.com/mtm/ertapenem.html
Erythromycin,https://www.drugs.com/erythromycin.html
Escitalopram,https://www.drugs.com/escitalopram.html
Esomeprazole,https://www.drugs.com/mtm/esomeprazole.html
Estrace,https://www.drugs.com/estrace.html
Estradiol,https://www.drugs.com/estradiol.html
Estradiol Patch,https://www.drugs.com/pro/estradiol-patch.html
Eszopiclone,https://www.drugs.com/eszopiclone.html
Etanercept,https://www.drugs.com/etanercept.html
Ethambutol,https://www.drugs.com/mtm/ethambutol.html
Etodolac,https://www.drugs.com/etodolac.html
Eulexin,https://www.drugs.com/cons/eulexin.html
Euthyrox,https://www.drugs.com/euthyrox.html
Evenity,https://www.drugs.com/evenity.html
Evista,https://www.drugs.com/evista.html
Evkeeza,https://www.drugs.com/evkeeza.html
